A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
6570,730,3,3,730,4,730,4,730,9,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=9,b=1,k=3,S=730) : (9S)^3+(1S)^3=S^4"
4312,1617,3,3,539,4,539,4,539,8,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=3,k=3,S=539) : (8S)^3+(3S)^3=S^4"
3530,2118,4,4,706,5,706,5,706,5,3,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=5,b=3,k=4,S=706) : (5S)^4+(3S)^4=S^5"
3276,2340,3,3,468,4,468,4,468,7,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=5,k=3,S=468) : (7S)^3+(5S)^3=S^4"
4224,2112,5,5,1056,6,1056,6,1056,4,2,1,5,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=4,b=2,k=5,S=1056) : (4S)^5+(2S)^5=S^6"
6633,1474,3,3,737,4,737,4,737,9,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=2,k=3,S=737) : (9S)^3+(2S)^3=S^4"
10010,1001,3,3,1001,4,1001,4,1001,10,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=10,b=1,k=3,S=1001) : (10S)^3+(1S)^3=S^4"
7782,1297,4,4,1297,5,1297,5,1297,6,1,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=1,k=4,S=1297) : (6S)^4+(1S)^4=S^5"
4608,2304,3,3,576,4,576,4,576,8,4,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=8,b=4,k=3,S=576) : (8S)^3+(4S)^3=S^4"
3913,3354,3,3,559,4,559,4,559,7,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=6,k=3,S=559) : (7S)^3+(6S)^3=S^4"
6564,2188,7,7,2188,8,2188,8,2188,3,1,1,7,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=3,b=1,k=7,S=2188) : (3S)^7+(1S)^7=S^8"
6804,2268,3,3,756,4,756,4,756,9,3,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=9,b=3,k=3,S=756) : (9S)^3+(3S)^3=S^4"
4405,3524,4,4,881,5,881,5,881,5,4,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=5,b=4,k=4,S=881) : (5S)^4+(4S)^4=S^5"
5096,3185,3,3,637,4,637,4,637,8,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=5,k=3,S=637) : (8S)^3+(5S)^3=S^4"
5068,3801,5,5,1267,6,1267,6,1267,4,3,1,5,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=4,b=3,k=5,S=1267) : (4S)^5+(3S)^5=S^6"
14652,1332,3,3,1332,4,1332,4,1332,11,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=11,b=1,k=3,S=1332) : (11S)^3+(1S)^3=S^4"
10080,2016,3,3,1008,4,1008,4,1008,10,2,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=10,b=2,k=3,S=1008) : (10S)^3+(2S)^3=S^4"
7872,2624,4,4,1312,5,1312,5,1312,6,2,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=2,k=4,S=1312) : (6S)^4+(2S)^4=S^5"
7137,3172,3,3,793,4,793,4,793,9,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=4,k=3,S=793) : (9S)^3+(4S)^3=S^4"
5824,4368,3,3,728,4,728,4,728,8,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=6,k=3,S=728) : (8S)^3+(6S)^3=S^4"
10270,3081,3,3,1027,4,1027,4,1027,10,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=3,k=3,S=1027) : (10S)^3+(3S)^3=S^4"
6945,4630,7,7,2315,8,2315,8,2315,3,2,1,7,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=3,b=2,k=7,S=2315) : (3S)^7+(2S)^7=S^8"
7686,4270,3,3,854,4,854,4,854,9,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=5,k=3,S=854) : (9S)^3+(5S)^3=S^4"
8262,4131,4,4,1377,5,1377,5,1377,6,3,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=3,k=4,S=1377) : (6S)^4+(3S)^4=S^5"
20748,1729,3,3,1729,4,1729,4,1729,12,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=12,b=1,k=3,S=1729) : (12S)^3+(1S)^3=S^4"
14729,2678,3,3,1339,4,1339,4,1339,11,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=2,k=3,S=1339) : (11S)^3+(2S)^3=S^4"
16814,2402,4,4,2402,5,2402,5,2402,7,1,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=7,b=1,k=4,S=2402) : (7S)^4+(1S)^4=S^5"
6840,5985,3,3,855,4,855,4,855,8,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=7,k=3,S=855) : (8S)^3+(7S)^3=S^4"
10640,4256,3,3,1064,4,1064,4,1064,10,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=4,k=3,S=1064) : (10S)^3+(4S)^3=S^4"
8505,5670,3,3,945,4,945,4,945,9,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=6,k=3,S=945) : (9S)^3+(6S)^3=S^4"
15630,3126,5,5,3126,6,3126,6,3126,5,1,1,5,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=5,b=1,k=5,S=3126) : (5S)^5+(1S)^5=S^6"
9312,6208,4,4,1552,5,1552,5,1552,6,4,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=6,b=4,k=4,S=1552) : (6S)^4+(4S)^4=S^5"
14938,4074,3,3,1358,4,1358,4,1358,11,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=3,k=3,S=1358) : (11S)^3+(3S)^3=S^4"
28574,2198,3,3,2198,4,2198,4,2198,13,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=13,b=1,k=3,S=2198) : (13S)^3+(1S)^3=S^4"
11250,5625,3,3,1125,4,1125,4,1125,10,5,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=10,b=5,k=3,S=1125) : (10S)^3+(5S)^3=S^4"
16388,4097,6,6,4097,7,4097,7,4097,4,1,1,6,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=4,b=1,k=6,S=4097) : (4S)^6+(1S)^6=S^7"
20832,3472,3,3,1736,4,1736,4,1736,12,2,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=12,b=2,k=3,S=1736) : (12S)^3+(2S)^3=S^4"
9648,7504,3,3,1072,4,1072,4,1072,9,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=7,k=3,S=1072) : (9S)^3+(7S)^3=S^4"
16919,4834,4,4,2417,5,2417,5,2417,7,2,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=2,k=4,S=2417) : (7S)^4+(2S)^4=S^5"
15345,5580,3,3,1395,4,1395,4,1395,11,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=4,k=3,S=1395) : (11S)^3+(4S)^3=S^4"
12160,7296,3,3,1216,4,1216,4,1216,10,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=6,k=3,S=1216) : (10S)^3+(6S)^3=S^4"
15785,6314,5,5,3157,6,3157,6,3157,5,2,1,5,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=5,b=2,k=5,S=3157) : (5S)^5+(2S)^5=S^6"
38430,2745,3,3,2745,4,2745,4,2745,14,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=14,b=1,k=3,S=2745) : (14S)^3+(1S)^3=S^4"
11526,9605,4,4,1921,5,1921,5,1921,6,5,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=6,b=5,k=4,S=1921) : (6S)^4+(5S)^4=S^5"
21060,5265,3,3,1755,4,1755,4,1755,12,3,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=12,b=3,k=3,S=1755) : (12S)^3+(3S)^3=S^4"
11169,9928,3,3,1241,4,1241,4,1241,9,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=8,k=3,S=1241) : (9S)^3+(8S)^3=S^4"
16016,7280,3,3,1456,4,1456,4,1456,11,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=5,k=3,S=1456) : (11S)^3+(5S)^3=S^4"
13430,9401,3,3,1343,4,1343,4,1343,10,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=7,k=3,S=1343) : (10S)^3+(7S)^3=S^4"
28665,4410,3,3,2205,4,2205,4,2205,13,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=2,k=3,S=2205) : (13S)^3+(2S)^3=S^4"
19686,6562,8,8,6562,9,6562,9,6562,3,1,1,8,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=3,b=1,k=8,S=6562) : (3S)^8+(1S)^8=S^9"
17374,7446,4,4,2482,5,2482,5,2482,7,3,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=3,k=4,S=2482) : (7S)^4+(3S)^4=S^5"
32776,4097,4,4,4097,5,4097,5,4097,8,1,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=8,b=1,k=4,S=4097) : (8S)^4+(1S)^4=S^5"
16640,8320,6,6,4160,7,4160,7,4160,4,2,1,6,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=4,b=2,k=6,S=4160) : (4S)^6+(2S)^6=S^7"
21504,7168,3,3,1792,4,1792,4,1792,12,4,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=12,b=4,k=3,S=1792) : (12S)^3+(4S)^3=S^4"
17017,9282,3,3,1547,4,1547,4,1547,11,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=6,k=3,S=1547) : (11S)^3+(6S)^3=S^4"
16840,10104,5,5,3368,6,3368,6,3368,5,3,1,5,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=5,b=3,k=5,S=3368) : (5S)^5+(3S)^5=S^6"
50640,3376,3,3,3376,4,3376,4,3376,15,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=15,b=1,k=3,S=3376) : (15S)^3+(1S)^3=S^4"
15120,12096,3,3,1512,4,1512,4,1512,10,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=8,k=3,S=1512) : (10S)^3+(8S)^3=S^4"
28912,6672,3,3,2224,4,2224,4,2224,13,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=3,k=3,S=2224) : (13S)^3+(3S)^3=S^4"
18599,10628,4,4,2657,5,2657,5,2657,7,4,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=4,k=4,S=2657) : (7S)^4+(4S)^4=S^5"
22236,9265,3,3,1853,4,1853,4,1853,12,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=5,k=3,S=1853) : (12S)^3+(5S)^3=S^4"
38528,5504,3,3,2752,4,2752,4,2752,14,2,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=14,b=2,k=3,S=2752) : (14S)^3+(2S)^3=S^4"
18414,11718,3,3,1674,4,1674,4,1674,11,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=7,k=3,S=1674) : (11S)^3+(7S)^3=S^4"
29393,9044,3,3,2261,4,2261,4,2261,13,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=4,k=3,S=2261) : (13S)^3+(4S)^3=S^4"
65552,4097,3,3,4097,4,4097,4,4097,16,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=16,b=1,k=3,S=4097) : (16S)^3+(1S)^3=S^4"
17290,15561,3,3,1729,4,1729,4,1729,10,9,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=10,b=9,k=3,S=1729) : (10S)^3+(9S)^3=S^4"
32896,8224,4,4,4112,5,4112,5,4112,8,2,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=8,b=2,k=4,S=4112) : (8S)^4+(2S)^4=S^5"
23328,11664,3,3,1944,4,1944,4,1944,12,6,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=12,b=6,k=3,S=1944) : (12S)^3+(6S)^3=S^4"
20451,13634,8,8,6817,9,6817,9,6817,3,2,1,8,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=3,b=2,k=8,S=6817) : (3S)^8+(2S)^8=S^9"
19300,14475,6,6,4825,7,4825,7,4825,4,3,1,6,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=4,b=3,k=6,S=4825) : (4S)^6+(3S)^6=S^7"
20273,14744,3,3,1843,4,1843,4,1843,11,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=8,k=3,S=1843) : (11S)^3+(8S)^3=S^4"
21182,15130,4,4,3026,5,3026,5,3026,7,5,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=5,k=4,S=3026) : (7S)^4+(5S)^4=S^5"
38794,8313,3,3,2771,4,2771,4,2771,14,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=3,k=3,S=2771) : (14S)^3+(3S)^3=S^4"
50745,6766,3,3,3383,4,3383,4,3383,15,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=15,b=2,k=3,S=3383) : (15S)^3+(2S)^3=S^4"
20745,16596,5,5,4149,6,4149,6,4149,5,4,1,5,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=5,b=4,k=5,S=4149) : (5S)^5+(4S)^5=S^6"
30186,11610,3,3,2322,4,2322,4,2322,13,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=5,k=3,S=2322) : (13S)^3+(5S)^3=S^4"
24852,14497,3,3,2071,4,2071,4,2071,12,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=7,k=3,S=2071) : (12S)^3+(7S)^3=S^4"
46662,7777,5,5,7777,6,7777,6,7777,6,1,1,5,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=1,k=5,S=7777) : (6S)^5+(1S)^5=S^6"
59058,6562,4,4,6562,5,6562,5,6562,9,1,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=9,b=1,k=4,S=6562) : (9S)^4+(1S)^4=S^5"
83538,4914,3,3,4914,4,4914,4,4914,17,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=17,b=1,k=3,S=4914) : (17S)^3+(1S)^3=S^4"
33416,12531,4,4,4177,5,4177,5,4177,8,3,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=3,k=4,S=4177) : (8S)^4+(3S)^4=S^5"
22660,18540,3,3,2060,4,2060,4,2060,11,9,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=9,k=3,S=2060) : (11S)^3+(9S)^3=S^4"
39312,11232,3,3,2808,4,2808,4,2808,14,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=4,k=3,S=2808) : (14S)^3+(4S)^3=S^4"
31369,14478,3,3,2413,4,2413,4,2413,13,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=6,k=3,S=2413) : (13S)^3+(6S)^3=S^4"
26880,17920,3,3,2240,4,2240,4,2240,12,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=8,k=3,S=2240) : (12S)^3+(8S)^3=S^4"
51030,10206,3,3,3402,4,3402,4,3402,15,3,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=15,b=3,k=3,S=3402) : (15S)^3+(3S)^3=S^4"
65664,8208,3,3,4104,4,4104,4,4104,16,2,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=16,b=2,k=3,S=4104) : (16S)^3+(2S)^3=S^4"
25879,22182,4,4,3697,5,3697,5,3697,7,6,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=7,b=6,k=4,S=3697) : (7S)^4+(6S)^4=S^5"
40166,14345,3,3,2869,4,2869,4,2869,14,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=5,k=3,S=2869) : (14S)^3+(5S)^3=S^4"
33020,17780,3,3,2540,4,2540,4,2540,13,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=7,k=3,S=2540) : (13S)^3+(7S)^3=S^4"
25641,23310,3,3,2331,4,2331,4,2331,11,10,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=11,b=10,k=3,S=2331) : (11S)^3+(10S)^3=S^4"
34816,17408,4,4,4352,5,4352,5,4352,8,4,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=8,b=4,k=4,S=4352) : (8S)^4+(4S)^4=S^5"
104994,5833,3,3,5833,4,5833,4,5833,18,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=18,b=1,k=3,S=5833) : (18S)^3+(1S)^3=S^4"
29484,22113,3,3,2457,4,2457,4,2457,12,9,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=9,k=3,S=2457) : (12S)^3+(9S)^3=S^4"
51585,13756,3,3,3439,4,3439,4,3439,15,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=15,b=4,k=3,S=3439) : (15S)^3+(4S)^3=S^4"
46848,15616,5,5,7808,6,7808,6,7808,6,2,1,5,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=2,k=5,S=7808) : (6S)^5+(2S)^5=S^6"
41440,17760,3,3,2960,4,2960,4,2960,14,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=6,k=3,S=2960) : (14S)^3+(6S)^3=S^4"
35217,21672,3,3,2709,4,2709,4,2709,13,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=8,k=3,S=2709) : (13S)^3+(8S)^3=S^4"
59193,13154,4,4,6577,5,6577,5,6577,9,2,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=2,k=4,S=6577) : (9S)^4+(2S)^4=S^5"
65968,12369,3,3,4123,4,4123,4,4123,16,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=16,b=3,k=3,S=4123) : (16S)^3+(3S)^3=S^4"
83657,9842,3,3,4921,4,4921,4,4921,17,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=17,b=2,k=3,S=4921) : (17S)^3+(2S)^3=S^4"
37768,23605,4,4,4721,5,4721,5,4721,8,5,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=5,k=4,S=4721) : (8S)^4+(5S)^4=S^5"
32736,27280,3,3,2728,4,2728,4,2728,12,10,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=10,k=3,S=2728) : (12S)^3+(10S)^3=S^4"
130340,6860,3,3,6860,4,6860,4,6860,19,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=19,b=1,k=3,S=6860) : (19S)^3+(1S)^3=S^4"
52500,17500,3,3,3500,4,3500,4,3500,15,5,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=15,b=5,k=3,S=3500) : (15S)^3+(5S)^3=S^4"
43218,21609,3,3,3087,4,3087,4,3087,14,7,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=14,b=7,k=3,S=3087) : (14S)^3+(7S)^3=S^4"
100010,10001,4,4,10001,5,10001,5,10001,10,1,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=10,b=1,k=4,S=10001) : (10S)^4+(1S)^4=S^5"
38038,26334,3,3,2926,4,2926,4,2926,13,9,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=9,k=3,S=2926) : (13S)^3+(9S)^3=S^4"
65540,16385,7,7,16385,8,16385,8,16385,4,1,1,7,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=4,b=1,k=7,S=16385) : (4S)^7+(1S)^7=S^8"
66560,16640,3,3,4160,4,4160,4,4160,16,4,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=16,b=4,k=3,S=4160) : (16S)^3+(4S)^3=S^4"
48114,24057,5,5,8019,6,8019,6,8019,6,3,1,5,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=6,b=3,k=5,S=8019) : (6S)^5+(3S)^5=S^6"
53865,21546,3,3,3591,4,3591,4,3591,15,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=15,b=6,k=3,S=3591) : (15S)^3+(6S)^3=S^4"
59052,19684,9,9,19684,10,19684,10,19684,3,1,1,9,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=3,b=1,k=9,S=19684) : (3S)^9+(1S)^9=S^10"
45584,26048,3,3,3256,4,3256,4,3256,14,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=8,k=3,S=3256) : (14S)^3+(8S)^3=S^4"
59778,19926,4,4,6642,5,6642,5,6642,9,3,1,4,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=9,b=3,k=4,S=6642) : (9S)^4+(3S)^4=S^5"
78130,15626,6,6,15626,7,15626,7,15626,5,1,1,6,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=5,b=1,k=6,S=15626) : (5S)^6+(1S)^6=S^7"
105120,11680,3,3,5840,4,5840,4,5840,18,2,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=18,b=2,k=3,S=5840) : (18S)^3+(2S)^3=S^4"
36708,33649,3,3,3059,4,3059,4,3059,12,11,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=12,b=11,k=3,S=3059) : (12S)^3+(11S)^3=S^4"
83980,14820,3,3,4940,4,4940,4,4940,17,3,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=17,b=3,k=3,S=4940) : (17S)^3+(3S)^3=S^4"
160020,8001,3,3,8001,4,8001,4,8001,20,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=20,b=1,k=3,S=8001) : (20S)^3+(1S)^3=S^4"
41561,31970,3,3,3197,4,3197,4,3197,13,10,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=10,k=3,S=3197) : (13S)^3+(10S)^3=S^4"
43136,32352,4,4,5392,5,5392,5,5392,8,6,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=8,b=6,k=4,S=5392) : (8S)^4+(6S)^4=S^5"
67536,21105,3,3,4221,4,4221,4,4221,16,5,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=16,b=5,k=3,S=4221) : (16S)^3+(5S)^3=S^4"
55770,26026,3,3,3718,4,3718,4,3718,15,7,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=15,b=7,k=3,S=3718) : (15S)^3+(7S)^3=S^4"
48622,31257,3,3,3473,4,3473,4,3473,14,9,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=14,b=9,k=3,S=3473) : (14S)^3+(9S)^3=S^4"
61353,27268,4,4,6817,5,6817,5,6817,9,4,1,4,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=9,b=4,k=4,S=6817) : (9S)^4+(4S)^4=S^5"
84609,19908,3,3,4977,4,4977,4,4977,17,4,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=17,b=4,k=3,S=4977) : (17S)^3+(4S)^3=S^4"
45864,38808,3,3,3528,4,3528,4,3528,13,11,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=13,b=11,k=3,S=3528) : (13S)^3+(11S)^3=S^4"
68992,25872,3,3,4312,4,4312,4,4312,16,6,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=16,b=6,k=3,S=4312) : (16S)^3+(6S)^3=S^4"
130473,13734,3,3,6867,4,6867,4,6867,19,2,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=19,b=2,k=3,S=6867) : (19S)^3+(2S)^3=S^4"
194502,9262,3,3,9262,4,9262,4,9262,21,1,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=21,b=1,k=3,S=9262) : (21S)^3+(1S)^3=S^4"
58305,31096,3,3,3887,4,3887,4,3887,15,8,1,3,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=15,b=8,k=3,S=3887) : (15S)^3+(8S)^3=S^4"
105462,17577,3,3,5859,4,5859,4,5859,18,3,1,3,0,0,1,M1,M1.2,prime,Gv,identity_proven,"M1.2·next-power(a=18,b=3,k=3,S=5859) : (18S)^3+(3S)^3=S^4"
52800,35200,5,5,8800,6,8800,6,8800,6,4,1,5,0,0,1,M1,M1.2,prime,none,identity_proven,"M1.2·next-power(a=6,b=4,k=5,S=8800) : (6S)^5+(4S)^5=S^6"
