A,B,x,y,C,z,C_canonical,z_canonical,gcd,a,b,c,m,alpha,beta,gamma,macro_family,sub_family,regime,geometry,proof_status,certificate
52488,52488,9,9,49589822592,4,49589822592,4,52488,1,1,944784,4,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=52488,k=9) : 2·52488^9=49589822592^4"
54000,54000,5,5,97200000,3,97200000,3,54000,1,1,1800,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=54000,k=5) : 2·54000^5=97200000^3"
54000,54000,8,8,5248800000000,3,5248800000000,3,54000,1,1,97200000,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=54000,k=8) : 2·54000^8=5248800000000^3"
55296,55296,4,4,2654208,3,2654208,3,55296,1,1,48,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=55296,k=4) : 2·55296^4=2654208^3"
55296,55296,7,7,146767085568,3,146767085568,3,55296,1,1,2654208,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=55296,k=7) : 2·55296^7=146767085568^3"
57122,57122,3,3,4394,4,4394,4,4394,13,13,1,3,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=57122,k=3) : 2·57122^3=4394^4"
57122,57122,7,7,250994068,4,250994068,4,57122,1,1,4394,4,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=57122,k=7) : 2·57122^7=250994068^4"
59582,59582,5,5,114516604,3,114516604,3,59582,1,1,1922,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=59582,k=5) : 2·59582^5=114516604^3"
59582,59582,8,8,6823128299528,3,6823128299528,3,59582,1,1,114516604,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=59582,k=8) : 2·59582^8=6823128299528^3"
62208,62208,3,3,864,5,864,5,864,72,72,1,3,0,0,2,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=62208,k=3) : 2·62208^3=864^5"
62208,62208,8,8,53747712,5,53747712,5,62208,1,1,864,5,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=62208,k=8) : 2·62208^8=53747712^5"
62500,62500,4,4,3125000,3,3125000,3,62500,1,1,50,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=62500,k=4) : 2·62500^4=3125000^3"
62500,62500,7,7,195312500000,3,195312500000,3,62500,1,1,3125000,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=62500,k=7) : 2·62500^7=195312500000^3"
65536,65536,10,10,8388608,7,2,23,65536,1,1,128,7,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=160) : 2·2^160=2^161"
65536,65536,3,3,128,7,128,7,128,512,512,1,3,0,0,4,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=48) : 2·2^48=2^49"
65536,65536,4,4,8192,5,2,13,8192,8,8,1,4,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=2,k=64) : 2·2^64=2^65"
65536,65536,5,5,134217728,3,2,27,65536,1,1,2048,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=80) : 2·2^80=2^81"
65536,65536,5,5,512,9,512,9,512,128,128,1,5,0,0,4,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=80) : 2·2^80=2^81"
65536,65536,8,8,8796093022208,3,8796093022208,3,65536,1,1,134217728,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=128) : 2·2^128=8796093022208^3"
65536,65536,9,9,536870912,5,2,29,65536,1,1,8192,5,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=2,k=144) : 2·2^144=2^145"
67228,67228,7,7,6588344,5,6588344,5,67228,1,1,98,5,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=67228,k=7) : 2·67228^7=6588344^5"
69984,69984,4,4,648,7,648,7,648,108,108,1,4,0,0,3,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=69984,k=4) : 2·69984^4=648^7"
70304,70304,4,4,3655808,3,3655808,3,70304,1,1,52,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=70304,k=4) : 2·70304^4=3655808^3"
70304,70304,7,7,257017925632,3,257017925632,3,70304,1,1,3655808,3,4,4,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=70304,k=7) : 2·70304^7=257017925632^3"
71874,71874,5,5,156541572,3,156541572,3,71874,1,1,2178,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=71874,k=5) : 2·71874^5=156541572^3"
71874,71874,8,8,11251268945928,3,11251268945928,3,71874,1,1,156541572,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=71874,k=8) : 2·71874^8=11251268945928^3"
76832,76832,3,3,5488,4,5488,4,5488,14,14,1,3,0,0,1,M1,M1.1,prime,Gvd,identity_proven,"M1.1·sym-pure(A=76832,k=3) : 2·76832^3=5488^4"
76832,76832,7,7,421654016,4,421654016,4,76832,1,1,5488,4,3,3,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=76832,k=7) : 2·76832^7=421654016^4"
78608,78608,5,5,181741696,3,181741696,3,78608,1,1,2312,3,2,2,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=78608,k=5) : 2·78608^5=181741696^3"
78608,78608,8,8,14286351239168,3,14286351239168,3,78608,1,1,181741696,3,5,5,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=78608,k=8) : 2·78608^8=14286351239168^3"
78732,78732,4,4,4251528,3,4251528,3,78732,1,1,54,3,1,1,0,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=78732,k=4) : 2·78732^4=162^9"
78732,78732,4,4,162,9,162,9,162,486,486,1,4,0,0,5,M1,M1.1,prime,none,identity_proven,"M1.1·sym-pure(A=78732,k=4) : 2·78732^4=162^9"
